Topics,Alpha,Beta,Coherence_cv,Coherence_umass
2,0.7100000000000001,0.41000000000000003,0.33634935580194,-2.829238938224789
2,0.7100000000000001,0.51,0.33634935282170775,-2.808885862719742
2,0.7100000000000001,0.6100000000000001,0.34742835722863674,-2.9156677419119115
2,0.7100000000000001,0.7100000000000001,0.36234741751104593,-2.8605316933545835
2,0.7100000000000001,0.81,0.34742835722863674,-2.9109634783735485
2,0.7100000000000001,0.91,0.33925585933029656,-2.79222717479735
2,0.81,0.01,0.32928171586245303,-2.879534256930438
2,0.81,0.11,0.3704063776880503,-2.82265227024637
2,0.81,0.21000000000000002,0.33634935282170775,-2.808885862719742
2,0.81,0.31000000000000005,0.3363493587821722,-2.821865292161214
2,0.81,0.41000000000000003,0.3474283557385206,-2.908294095848336
2,0.81,0.51,0.33634935580194,-2.829238938224789
2,0.81,0.6100000000000001,0.34742835722863674,-2.9156677419119115
2,0.81,0.7100000000000001,0.33634935580194,-2.829238938224789
2,0.81,0.81,0.33634935580194,-2.833943201763152
2,0.81,0.91,0.34742835350334644,-2.9194779169154956
2,0.91,0.01,0.34887809921056034,-2.949751304147053
2,0.91,0.11,0.3474283557385206,-2.908294095848336
2,0.91,0.21000000000000002,0.34742835722863674,-2.890610402868502
2,0.91,0.31000000000000005,0.3474283557385206,-2.908294095848336
2,0.91,0.41000000000000003,0.33634935580194,-2.833943201763152
2,0.91,0.51,0.33634935691952705,-2.811570764497386
2,0.91,0.6100000000000001,0.3518174044787884,-2.874797432111425
2,0.91,0.7100000000000001,0.35111103374511005,-2.867980138446251
2,0.91,0.81,0.34593768827617166,-2.8856079907259624
2,0.91,0.91,0.3363493554294109,-2.842233886918956
3,0.01,0.01,0.35420439212272564,-3.184802532941882
3,0.01,0.11,0.3270754774411519,-3.0840935167343253
3,0.01,0.21000000000000002,0.3727830480784178,-2.9397770667479652
3,0.01,0.31000000000000005,0.37221700449784595,-2.929427234863486
3,0.01,0.41000000000000003,0.38240288340797024,-2.9541864270792324
3,0.01,0.51,0.36242048433050505,-2.9242995254176427
3,0.01,0.6100000000000001,0.35445511749324704,-2.8990657419445154
3,0.01,0.7100000000000001,0.3232260091851155,-2.783539881845025
3,0.01,0.81,0.41887331070999306,-3.785172268026732
3,0.01,0.91,0.31546098000059525,-2.8893918104418126
3,0.11,0.01,0.3289454234143098,-3.023684174141048
3,0.11,0.11,0.3270191174000502,-3.044961435000786
3,0.11,0.21000000000000002,0.3074697601298491,-2.948468866870344
3,0.11,0.31000000000000005,0.3854330719448626,-2.9329229362662765
3,0.11,0.41000000000000003,0.3857580829411745,-2.962028615825492
3,0.11,0.51,0.32717820126563313,-3.0689761717481496
3,0.11,0.6100000000000001,0.7002791841824849,-4.85051160289007
3,0.11,0.7100000000000001,0.7002900918324788,-4.429366510955507
3,0.11,0.81,0.36840193898727497,-2.940863624073625
3,0.11,0.91,0.7049863328536352,-5.654566789919117
3,0.21000000000000002,0.01,0.35606922438989086,-2.9855425774199706
3,0.21000000000000002,0.11,0.38372943429276346,-2.9258693436656316
3,0.21000000000000002,0.21000000000000002,0.38240288489808644,-2.950055803833178
